City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,295.49,86,93,15.48,PN,1691536266
1,nadi,-17.8,177.4167,301.15,54,20,2.57,FJ,1691536437
2,longyearbyen,78.2186,15.6401,281.06,81,0,4.12,SJ,1691536278
3,fort st. john,56.2499,-120.8529,293.5,55,100,3.01,CA,1691536298
4,geraldton,-28.7667,114.6,284.38,93,75,2.57,AU,1691536317
5,shanhecun,44.7,127.2,293.38,91,55,1.33,CN,1691536613
6,atafu village,-8.5421,-172.5159,301.99,69,92,5.81,TK,1691536268
7,hadibu,12.65,54.0333,298.81,80,98,8.63,YE,1691536305
8,wadebridge,50.5173,-4.8363,290.18,100,100,4.12,GB,1691536344
9,uturoa,-16.7333,-151.4333,298.86,80,99,4.25,PF,1691536345
10,sitka,57.0531,-135.33,289.09,77,100,1.54,US,1691536325
11,waitangi,-43.9535,-176.5597,282.49,90,100,0.45,NZ,1691536272
12,chibougamau,49.9168,-74.3659,285.94,94,100,2.06,CA,1691536316
13,edinburgh of the seven seas,-37.0676,-12.3116,284.84,86,100,12.3,SH,1691536265
14,port-aux-francais,-49.35,70.2167,274.33,69,88,9.65,TF,1691536269
15,puerto natales,-51.7236,-72.4875,274.62,99,100,0.4,CL,1691536272
16,thompson,55.7435,-97.8558,288.23,68,100,3.03,CA,1691536288
17,papatowai,-46.5619,169.4708,277.99,84,100,7.53,NZ,1691536275
18,tiksi,71.6872,128.8694,289.39,50,9,1.77,RU,1691536288
19,colonia,50.9333,6.95,289.2,90,100,1.03,DE,1691536397
20,udachny,66.4167,112.4,291.18,59,9,2.47,RU,1691536287
21,port saint john's,-31.6229,29.5448,291.69,70,94,4.26,ZA,1691536364
22,ushuaia,-54.8,-68.3,272.88,92,81,2.85,AR,1691536303
23,grytviken,-54.2811,-36.5092,270.27,81,33,3.9,GS,1691536265
24,broken hill,-31.95,141.4333,285.76,48,6,4.4,AU,1691536617
25,chui,-33.6971,-53.4616,283.9,80,78,3.55,UY,1691536617
26,sinabang,2.4803,96.3801,298.89,82,99,0.27,ID,1691536618
27,petropavlovsk-kamchatsky,53.0452,158.6483,289.14,67,75,4.0,RU,1691536282
28,mancio lima,-7.6142,-72.8958,301.19,78,75,2.06,BR,1691536618
